"id","trust","check","condition","region","insecure","need","depend","purchases_market","age","wives_cowives","num_children","literate","education","sell_milk_meat","sell_handcrafts","wage_labor","farming","sell_crops","own_business","teaching","hh_size","hh_labor","urban_travel","engai_christian_same","god_mind","god_body","god_omnipotent","god_omniscient","god_omnibenevolent","god_punish","god_reward","rituals_frequency","prayer_frequency","disagree_god_frequency","maasai_all_cattle","polygyny","moran_eating","cattle_raid","educate_children","educate_women","cattle_over_cash","belief_god_important","children_share_religious","others_share_religious","farming_good","female_circumcision","maasai_worry_future","god_comfort_safety","donkeys","chickens","cattle","goats","sheep","roof","solar","wealth","TLU","MI","pc1"
1,1,0,0,0,-0.666592831308867,1.4639910172497,-0.462663810470107,0.747799729658283,0.61393931760377,0.366085353451903,1.71745696589852,1.79745918974092,-0.543920082920068,-0.344778632082909,-0.404446227720985,-0.383798889135426,0.470994425436512,1.14102011853324,-0.428242703225049,-0.19157898882856,1.0973133631346,-0.0562034116108462,0.213702165922222,0.598425859395001,1.02567674223057,0.310985050004735,0.366335142526423,0.439350639938584,-2.8250844517983,0.97714399677625,0.821475270117564,1.42771896405962,0.596123614163508,2.40490181186243,-1.37211403826517,0.160644314367921,-0.391681584861278,-0.67110809754479,-0.181977584008662,0.0577457057365734,1.19898554305155,-0.0510840685451281,1.05959588738581,1.23632796087861,1.10656630523177,-1.06993730137315,0.568785625180513,-0.152159307241988,-0.346309350016427,-0.0661528039611607,-0.339497753867848,-0.34358376783043,-0.393447850588536,-0.420974243338464,-0.574358974358974,0.155318768713895,-0.383706786220532,0.694236703141575,-1.18172404497754
2,0,1,0,0,-2.24084593960032,-0.0456029532085919,-0.799762731745548,0.747799729658283,0.61393931760377,-0.145524612552309,-0.0715607069124385,1.79745918974092,1.39865164179446,-0.344778632082909,-0.404446227720985,-0.383798889135426,0.470994425436512,1.14102011853324,2.32474610322169,-0.19157898882856,0.0703326205525866,-0.0562034116108462,-0.710970667395086,0.598425859395001,1.02567674223057,0.310985050004735,0.366335142526423,0.439350639938584,0.401534845940876,0.97714399677625,0.821475270117564,1.42771896405962,1.21997390805555,2.40490181186243,-1.37211403826517,-1.74172256630483,-0.391681584861278,-0.67110809754479,-0.181977584008662,1.05719061271573,0.271934865434373,1.09830747372025,1.05959588738581,1.23632796087861,0.0470879278822029,-1.06993730137315,0.568785625180513,-0.152159307241988,-0.260305372363341,-0.278030112021818,-0.272599203623855,0.246428426497727,-0.248085344213461,-0.420974243338464,1.73333333333333,0.155318768713895,-0.253189527022946,0.694236703141575,-1.54222284105743
3,1,0,0,0,1.62322987166052,-0.594546215193426,-0.462663810470107,-0.609094941092634,-0.390688656656945,-1.16874454456073,-0.966069543317919,-0.553868238699235,-0.543920082920068,-0.344778632082909,-0.404446227720985,-0.383798889135426,0.470994425436512,1.14102011853324,-0.428242703225049,-0.19157898882856,-0.583200579272332,-0.288235844866633,0.213702165922222,0.598425859395001,1.02567674223057,1.63120460191163,0.366335142526423,0.439350639938584,0.401534845940876,-1.9348745366629,0.821475270117564,1.42771896405962,0.596123614163508,-0.468210972221005,0.148702013999181,0.160644314367921,-0.391681584861278,-0.67110809754479,-0.181977584008662,1.05719061271573,1.19898554305155,-0.0510840685451281,1.05959588738581,-1.84308670182642,1.10656630523177,0.508658717046252,-1.19641114262108,0.989035497072923,-0.432313327669513,-0.278030112021818,-0.339497753867848,-0.417335292121449,-0.344993681796845,-0.420974243338464,-0.574358974358974,-1.32130332821398,-0.393809586618671,-0.104756944975326,-0.58271166469989
4,0.5,1,0,0,2.05257162846729,-0.320074584201009,0.211534032080781,-0.609094941092634,-0.139531663091766,-0.657134578556522,-0.369730319047599,1.79745918974092,-0.543920082920068,-0.344778632082909,-0.404446227720985,-0.383798889135426,0.470994425436512,-0.880472217450844,-0.428242703225049,-0.19157898882856,-0.116391150825962,-0.0562034116108462,0.213702165922222,-0.748032324243752,-0.195366998520109,0.310985050004735,0.366335142526423,0.439350639938584,0.401534845940876,-1.9348745366629,0.821475270117564,-0.0526348005183271,0.596123614163508,-0.468210972221005,0.148702013999181,0.160644314367921,-0.391681584861278,-0.67110809754479,0.924642859287258,0.0577457057365734,-1.58216648979999,-0.0510840685451281,1.05959588738581,0.209856406643602,0.0470879278822029,1.29795672625595,0.568785625180513,-0.152159307241988,-0.518317305322599,-0.172091457991489,-0.339497753867848,-0.402584987263245,-0.409599240185767,-0.420974243338464,-0.574358974358974,-0.829095962571352,-0.404458484335629,-0.903750593092228,-0.173597650186436
5,0.5,1,0,0,2.05257162846729,0.77781193976866,-0.462663810470107,0.747799729658283,-0.139531663091766,-0.657134578556522,-0.0715607069124385,-0.553868238699235,-0.543920082920068,-0.344778632082909,2.48445539885748,-0.383798889135426,0.470994425436512,-0.880472217450844,-0.428242703225049,-0.19157898882856,-0.116391150825962,-0.288235844866633,-0.710970667395086,0.598425859395001,-1.41641073927079,-1.00923450190216,0.366335142526423,0.439350639938584,-2.8250844517983,0.97714399677625,0.821475270117564,2.1678958463486,0.596123614163508,2.40490181186243,-1.37211403826517,-1.74172256630483,-0.391681584861278,-0.67110809754479,-0.181977584008662,1.05719061271573,0.271934865434373,-0.0510840685451281,0.0536504246777623,1.23632796087861,0.0470879278822029,-1.06993730137315,-1.19641114262108,-0.152159307241988,-0.346309350016427,0.251663158129825,-0.328347995493849,-0.34358376783043,-0.328842292199614,-0.420974243338464,-0.574358974358974,-0.829095962571352,-0.3678699639748,0.694236703141575,-1.27844673082716
6,1,1,0,0,2.05257162846729,-0.320074584201009,-0.462663810470107,0.747799729658283,-1.33252738252637,-0.657134578556522,-0.518815125115179,1.79745918974092,1.39865164179446,-0.344778632082909,-0.404446227720985,-0.383798889135426,0.470994425436512,1.14102011853324,-0.428242703225049,-0.19157898882856,-0.489838693583058,-0.288235844866633,-0.710970667395086,-2.0944905078825,-1.41641073927079,-1.00923450190216,0.366335142526423,0.439350639938584,0.401534845940876,0.97714399677625,0.821475270117564,2.1678958463486,1.21997390805555,3.36260607322358,-1.37211403826517,0.160644314367921,-0.391681584861278,-0.67110809754479,-0.181977584008662,0.0577457057365734,-0.655115812182807,-0.0510840685451281,0.0536504246777623,0.209856406643602,0.0470879278822029,-1.06993730137315,0.568785625180513,-0.152159307241988,-0.260305372363341,0.516509793205646,-0.272599203623855,-0.196080719248391,0.0426396685366887,-0.420974243338464,-0.574358974358974,-0.829095962571352,-0.267524581641928,0.694236703141575,-1.4536692764514
7,0,1,0,0,2.05257162846729,-0.137093496872733,-0.799762731745548,0.747799729658283,2.05809203060355,-0.657134578556522,0.375693711290302,-0.553868238699235,-0.543920082920068,-0.344778632082909,2.48445539885748,-0.383798889135426,0.470994425436512,1.14102011853324,-0.428242703225049,-0.19157898882856,-0.209753036515236,-0.17221962823874,-0.710970667395086,-2.0944905078825,1.02567674223057,1.63120460191163,0.366335142526423,0.439350639938584,0.401534845940876,0.97714399677625,0.821475270117564,1.42771896405962,1.21997390805555,3.36260607322358,0.148702013999181,0.160644314367921,-0.391681584861278,-0.67110809754479,-0.181977584008662,1.05719061271573,-1.58216648979999,1.09830747372025,0.0536504246777623,0.209856406643602,0.0470879278822029,-0.280639292163449,-0.313812758720283,0.989035497072923,-0.432313327669513,-0.278030112021818,-0.361797270615845,-0.34358376783043,-0.409599240185767,-0.420974243338464,-0.574358974358974,-0.829095962571352,-0.411557749480268,1.49323035125847,-1.40501354522197
8,1,1,0,0,-0.666592831308867,-0.320074584201009,-0.462663810470107,-0.609094941092634,0.362782324038592,-0.657134578556522,0.226608905222722,-0.553868238699235,1.39865164179446,-0.344778632082909,-0.404446227720985,-0.383798889135426,0.470994425436512,1.14102011853324,-0.428242703225049,-0.19157898882856,0.0703326205525866,0.0598128050170473,0.213702165922222,0.598425859395001,-0.195366998520109,0.310985050004735,0.366335142526423,0.439350639938584,-2.8250844517983,0.97714399677625,0.821475270117564,-0.792811682807302,1.21997390805555,-0.468210972221005,-1.37211403826517,0.160644314367921,-0.391681584861278,-0.67110809754479,-0.181977584008662,0.0577457057365734,-1.58216648979999,1.09830747372025,1.05959588738581,1.23632796087861,1.10656630523177,-1.06993730137315,0.568785625180513,-0.152159307241988,-0.0882974170571684,-0.0131834769459964,-0.0496040361438791,0.541434523661805,-0.280388123407923,2.36488471993078,1.73333333333333,0.155318768713895,-0.0231460314707164,-0.104756944975326,-1.00622051882631
9,0,1,0,0,1.62322987166052,-0.320074584201009,-0.462663810470107,-0.609094941092634,0.676728565995065,0.877695319456115,1.56837215983094,-0.553868238699235,-0.543920082920068,-0.344778632082909,-0.404446227720985,-0.383798889135426,0.470994425436512,1.14102011853324,-0.428242703225049,-0.19157898882856,1.19067524882388,0.755910104784409,-0.710970667395086,-0.748032324243752,1.02567674223057,1.63120460191163,0.366335142526423,0.439350639938584,0.401534845940876,0.97714399677625,0.821475270117564,-0.792811682807302,0.596123614163508,-0.468210972221005,-1.37211403826517,-0.790539125968454,-0.391681584861278,-0.67110809754479,0.924642859287258,1.05719061271573,-1.58216648979999,-0.0510840685451281,-1.95824050073832,-1.84308670182642,0.0470879278822029,0.508658717046252,0.568785625180513,-0.152159307241988,0.0837105382490039,0.251663158129825,0.0618935475961089,0.0989253779156875,-0.118874227435617,-0.420974243338464,-0.574358974358974,0.647526134356518,0.059451188000559,-0.104756944975326,-0.165878316343987
10,1,0,0,0,-0.0941371555665197,0.640576124272451,-0.799762731745548,0.747799729658283,0.425571572429886,-0.145524612552309,-0.220645512980019,1.79745918974092,1.39865164179446,-0.344778632082909,2.48445539885748,-0.383798889135426,0.470994425436512,1.14102011853324,-0.428242703225049,-0.19157898882856,0.537142048998957,-0.0562034116108462,-0.710970667395086,-2.0944905078825,-0.195366998520109,1.63120460191163,0.366335142526423,0.439350639938584,0.401534845940876,-1.9348745366629,0.821475270117564,1.42771896405962,1.21997390805555,1.44719755050129,-1.37211403826517,0.160644314367921,-0.391681584861278,-0.67110809754479,-0.181977584008662,1.05719061271573,-1.58216648979999,1.09830747372025,1.05959588738581,0.209856406643602,0.0470879278822029,-1.06993730137315,0.568785625180513,-0.152159307241988,-0.174301394710255,-0.0661528039611607,-0.272599203623855,-0.26983224353941,-0.344993681796845,2.36488471993078,1.73333333333333,0.647526134356518,-0.301792188397779,1.49323035125847,-1.70692219512083
