"id","trust","check","condition","region","insecure","need","depend","purchases_market","age","wives_cowives","num_children","literate","education","sell_milk_meat","sell_handcrafts","wage_labor","farming","sell_crops","own_business","teaching","hh_size","hh_labor","urban_travel","engai_christian_same","god_mind","god_body","god_omnipotent","god_omniscient","god_omnibenevolent","god_punish","god_reward","rituals_frequency","prayer_frequency","disagree_god_frequency","maasai_all_cattle","polygyny","moran_eating","cattle_raid","educate_children","educate_women","cattle_over_cash","belief_god_important","children_share_religious","others_share_religious","farming_good","female_circumcision","maasai_worry_future","god_comfort_safety","donkeys","chickens","cattle","goats","sheep","roof","solar","wealth","TLU","MI"
21,1,1,0,0,1.6,2,0.333333333333333,4,70,1,7,0,1,0,0,0,1,1,0,0,4,2,1,1,0,0,1,1,-1,1,1,1,4,2,-1,2,-1,-1,1,1,2,1,2,2,1,-1,1,1,2,0,1,1,0,0,0,1,1.8,0.694236703141574
22,0.5,1,0,0,1.6,20,0.333333333333333,5,34,2,7,1,2,0,0,0,1,1,0,0,20,1,2,1,0,0,1,1,-1,1,1,1,4,2,1,1,-1,-1,1,1,1,1,2,2,1,-1,-1,1,2,2,4,5,3,0,0,2,4.62,1.49323035125847
23,0.5,1,0,0,1,2.66666666666667,0.2,4,32,1,5,1,2,1,1,0,1,1,0,0,8,3,2,1,1,0,1,1,-1,1,1,2,4,5,1,1,-1,-1,2,1,1,1,2,2,2,-1,1,2,2,7,4,11,6,0,0,1,5.57,2.29222399937538
24,1,0,0,0,1,4.33333333333333,0.333333333333333,4,36,3,4,0,1,0,1,0,1,0,0,0,14,4,1,0,1,0,1,1,-1,1,1,1,4,1,1,1,-1,-1,1,1,1,1,1,1,2,-1,-1,1,1,2,2,1,1,0,0,3,2.12,0.694236703141574
25,0,1,1,0,0.5,3.5,0.25,4,48,1,5,0,1,0,1,0,1,1,0,0,7,2,1,0,0,0,1,1,1,0,1,4,4,1,-1,1,-1,-1,1,1,1,1,2,1,0,1,-1,1,3,3,5,70,10,1,1,3,13.03,1.49323035125847
26,0.5,1,0,0,1.2,2.5,0.5,4,30,1,2,0,1,0,0,0,1,0,0,0,5,2,2,-1,1,-1,1,1,1,1,1,4,4,5,-1,1,-1,-2,1,2,1,1,1,1,1,-1,-1,1,1,0,6,5,2,0,1,2,5.4,-0.104756944975327
27,1,NA,0,0,1.2,2.5,0.5,4,33,1,3,0,1,0,0,0,1,0,0,0,5,2,2,-1,1,1,1,1,1,1,1,4,4,5,-1,-1,-1,-2,1,2,1,1,1,1,1,-1,-1,1,0,0,6,2,0,0,0,1,4.4,-0.104756944975327
28,0.5,1,0,0,1.6,9.33333333333333,0.4,2,75,5,40,0,1,0,0,0,1,0.5,0,0,28,3,1,1,0,0,1,1,0,1,0,4,5,1,-1,1,-1,-2,1,2,0,1,2,2,2,-1,1,1,3,0,80,30,30,1,1,7,63.5,-1.30324741715068
29,1,NA,0,0,1.4,3.5,0.333333333333333,4,40,1,5,0,1,0,0,0,1,1,0,0,7,2,2,1,1,0,1,1,1,1,1,4,4,1,1,1,-1,-2,1,1,2,1,1,1,1,-1,1,1,2,4,3,6,0,0,0,1,3.74,0.694236703141574
30,0.5,NA,1,0,1.6,3,0.2,5,21,2,3,0,1,0,1,0,1,1,1,0,6,2,1,-1,-1,-1,1,1,1,1,1,4,5,1,1,1,-1,-1,1,2,1,2,1,1,1,-1,1,1,4,5,20,30,10,1,1,4,20.05,2.29222399937538
31,1,NA,0,0,1,2.5,0.222222222222222,3,53,3,10,1,2,1,0.5,0,1,1,0,0,15,6,1,-1,0,0,1,1,1,1,1,4,4,2,-1,1,-1,-1,1,1,0,1,1,2,1,-1,-1,1,5,4,20,45,50,1,1,5,26.04,1.09373352720002
32,1,NA,1,0,1.6,4,1,3,45,1,4,0,1,0,0,0,0,0,0,0,4,1,2,1,1,0,1,1,1,1,1,2,4,2,1,2,-1,-1,2,1,1,1,1,2,1,1,1,2,10,0,20,50,50,0,0,1,29,-0.903750593092228
33,0,1,0,0,1.6,3,0.25,4,51,4,8,0,2,1,0,0,1,1,0,0,9,3,1,1,1,0,1,1,-1,1,1,4,4,5,-1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,2,5,4,3,2,1,0,5,4.35,1.49323035125847
34,1,1,1,0,0.25,3.5,0.285714285714286,4,30,4,4,0,1,1,0,0,1,0.5,0,0,14,4,1,-1,1,0,1,1,1,-1,1,4,4,2,1,-1,-1,-1,1,1,-1,1,1,2,1,1,1,2,11,0,100,100,40,0,0,4,89.5,1.09373352720002
35,0,1,1,0,0.25,3.5,0.333333333333333,4,32,2,6,0,1,0,0,0,1,1,0,0,14,4,2,0,0,0,1,1,1,1,1,4,4,1,-1,-1,-1,-1,1,1,-1,1,1,2,1,2,1,1,12,0,100,300,150,0,0,2,121,0.694236703141574
36,0,1,0,0,1,2.33333333333333,0.25,2,30,1,5,1,2,0,1,0,1,1,0,0,7,3,1,-1,1,1,1,1,1,1,1,4,5,1,-1,0,-1,-1,2,1,1,2,2,1,1,-1,-1,2,2,0,2,12,5,0,0,1,4.1,-0.104756944975327
37,0,1,0,0,1,3,0.333333333333333,4,35,1,6,1,2,0,0,0,1,1,0,0,9,3,1,1,1,-1,1,1,1,1,1,4,4,1,-1,-1,-1,-1,1,1,1,1,1,-1,2,1,1,1,1,0,2,14,10,1,1,3,4.3,0.694236703141574
38,0,1,1,0,1.2,1,0.2,4,53,2,8,0,1,1,1,0,1,1,0,0,5,5,2,0,-1,-1,1,1,1,-1,1,4,4,1,1,1,2,-1,2,2,2,2,1,1,2,1,1,2,2,4,20,100,0,1,1,4,25.04,2.29222399937538
39,1,1,1,0,1.4,12,0.2,4,32,1,1,1,3,1,1,0,1,1,0,0,12,1,3,1,1,-1,1,1,1,1,1,2,4,3,1,1,-1,-1,1,1,1,1,0,0,1,1,2,1,3,8,8,17,0,1,1,3,8.88,2.29222399937538
40,1,0,1,0,0.8,2.1,0.25,4,46,3,13,0,1,0,1,0,1,1,0,0,21,10,3,1,1,1,1,1,-1,1,1,4,4,1,-2,1,-1,-1,1,1,0,1,2,-1,1,-1,1,1,4,8,15,17,20,0,0,3,16.28,1.49323035125847
41,1,0,1,0,0.25,2.1,0.333333333333333,4,61,0,0,1,2,0,0,0,1,1,0,0,21,10,1,1,-1,1,1,1,1,1,1,4,4,2,-1,0,-1,-1,1,2,-1,1,0,1,2,-1,1,2,4,8,15,17,20,0,0,0,16.28,0.694236703141574
42,1,1,1,0,1,3.4,0.333333333333333,4,19,0,0,1,3,0,0,0,1,0,0,1,17,5,2,-1,1,1,1,1,1,1,1,5,4,1,-1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,1,0,20,10,4,0,0,0,15.9,-0.104756944975327
43,0.5,1,0,0,1,1.66666666666667,0.333333333333333,4,34,1,1,0,1,0,0,0,1,1,0,0,5,3,2,1,1,1,1,1,1,1,1,4,4,2,-1,1,-1,-1,1,1,-1,1,1,1,1,-1,-1,1,1,3,4,8,2,0,0,1,4.33,0.694236703141574
44,1,1,1,0,1.2,3.5,0.2,4,30,1,0,1,2,0,1,0,1,1,1,0,14,4,2,1,1,1,1,1,-1,1,1,4,4,2,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,1,2,0,5,10,10,0,0,1,6.5,1.49323035125847
